scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
Paillier-baseline,54,True,inside,inside,6.9141387939453125e-06,0.0,61.151530504226685,2.3,25.5,122.58984375,121.92578125,177,6598
Paillier-baseline,43,True,inside,inside,8.106231689453125e-06,2.384185791015625e-07,63.018351554870605,1.0,26.3,122.40234375,121.890625,177,6598
Paillier-baseline,71,True,inside,inside,1.1444091796875e-05,2.384185791015625e-07,64.05180716514587,3.6,26.9,122.953125,121.85546875,177,6598
Paillier-baseline,55,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,64.80617427825928,2.3,26.0,122.5625,121.82421875,177,6598
Paillier-baseline,45,True,inside,inside,7.62939453125e-06,2.384185791015625e-07,65.75098252296448,1.0,29.3,122.4609375,121.5234375,177,6598
Paillier-baseline,98,True,inside,inside,8.821487426757812e-06,4.76837158203125e-07,67.58539152145386,3.6,26.3,122.953125,121.48828125,177,6598
Paillier-baseline,58,True,inside,inside,1.811981201171875e-05,7.152557373046875e-07,68.53563213348389,0.9,20.0,122.515625,121.45703125,177,6598
Paillier-baseline,68,True,inside,inside,6.4373016357421875e-06,2.384185791015625e-07,69.30869746208191,1.8,27.3,122.52734375,121.42578125,177,6598
Paillier-baseline,50,True,inside,inside,7.152557373046875e-06,2.384185791015625e-07,70.27505803108215,0.9,26.6,122.515625,121.39453125,177,6598
Paillier-baseline,32,True,inside,inside,8.821487426757812e-06,4.76837158203125e-07,72.20115280151367,0.9,27.7,122.4765625,120.98046875,177,6598
Paillier-baseline,28,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,73.55389666557312,0.9,30.7,122.390625,120.94921875,177,6598
Paillier-baseline,48,True,inside,inside,1.1444091796875e-05,4.76837158203125e-07,74.0878336429596,0.9,23.6,122.51171875,120.91796875,177,6598
Paillier-baseline,78,True,inside,inside,9.059906005859375e-06,2.384185791015625e-07,74.83493900299072,3.2,29.0,122.76171875,120.88671875,177,6598
Paillier-baseline,89,True,inside,inside,5.245208740234375e-06,2.384185791015625e-07,76.73548603057861,2.7,26.8,122.62109375,120.42578125,177,6598
Paillier-baseline,38,True,inside,inside,1.1205673217773438e-05,0.0,78.01823019981384,0.8,28.1,122.51171875,120.390625,177,6598
Paillier-baseline,40,True,inside,inside,2.6464462280273438e-05,2.384185791015625e-07,79.15025019645691,0.8,28.7,122.4765625,120.359375,177,6598
Paillier-baseline,67,True,inside,inside,1.0251998901367188e-05,2.384185791015625e-07,79.5427598953247,6.3,25.5,123.2421875,120.328125,177,6598
Paillier-baseline,35,True,inside,inside,1.4066696166992188e-05,2.384185791015625e-07,81.64361953735352,0.8,29.7,122.51171875,119.92578125,177,6598
Paillier-baseline,34,True,inside,inside,1.5974044799804688e-05,4.76837158203125e-07,82.77337574958801,0.8,24.0,122.51171875,119.89453125,177,6598
Paillier-baseline,73,True,inside,inside,4.0531158447265625e-06,2.384185791015625e-07,83.66206526756287,3.3,26.4,122.6875,119.859375,177,6598
Paillier-baseline,76,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,84.17314863204956,3.2,25.5,122.7421875,119.828125,177,6598
Paillier-baseline,47,True,inside,inside,6.4373016357421875e-06,0.0,86.17955040931702,1.0,30.0,122.46875,119.49609375,177,6598
Paillier-baseline,97,True,inside,inside,8.344650268554688e-06,0.0,87.23785591125488,3.3,23.0,122.6640625,119.46484375,177,6598
Paillier-baseline,65,True,inside,inside,1.1205673217773438e-05,9.5367431640625e-07,88.46290874481201,0.0,23.9,122.515625,119.43359375,177,6598
Paillier-baseline,80,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,88.80241870880127,3.2,28.1,122.75,119.40234375,177,6598
Paillier-baseline,56,True,inside,inside,1.8358230590820312e-05,2.384185791015625e-07,90.94666361808777,0.9,26.0,122.515625,119.18359375,177,6598
Paillier-baseline,20,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,92.10481119155884,1.0,25.5,122.32421875,119.15234375,177,6598
Paillier-baseline,87,True,inside,inside,9.5367431640625e-06,0.0,92.88161110877991,2.7,27.0,122.6015625,119.1171875,177,6598
Paillier-baseline,82,True,inside,inside,1.0013580322265625e-05,7.152557373046875e-07,93.56518769264221,3.6,26.6,122.953125,118.4140625,177,6598
Paillier-baseline,37,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,95.67378449440002,0.9,22.4,122.4765625,118.3828125,177,6598
Paillier-baseline,95,True,inside,inside,1.3113021850585938e-05,2.384185791015625e-07,96.90998387336731,3.1,25.0,122.828125,118.078125,177,6598
Paillier-baseline,84,True,inside,inside,6.9141387939453125e-06,4.76837158203125e-07,97.27670502662659,3.2,22.7,122.73828125,118.046875,177,6598
